site_id,year_max,year_min,year_max_bd,bd_max_when_abund_max_log10,bd_max,prev_when_abund_max,prev_overall_max,year_prev_max,abund_max,abund_min,area,jurisdiction,elevation,density
10008,2019,2012,2012,3.84925561287218,5.28000733112524,0.947368421052632,1,2007,60,25,94410,kings_canyon,3237,2.17468849195312
10011,2012,2007,2007,2.39110981837432,3.19978903268648,0.625,0.625,2012,27,23,10552,kings_canyon,3347,2.92719178458159
10037,2019,2016,2005,4.66834761981019,5.46394419954927,1,1,2019,78,4,10323,kings_canyon,3420,8.54961274372087
10055,2005,2012,2010,0,4.55466745807224,0,1,2006,121,20,29282,kings_canyon,3371,7.87480497286121
10069,2011,2016,2016,0,6.97567681180739,0,1,2016,18,11,115463,kings_canyon,3442,0.589937347487186
10081,2015,2016,2016,0,5.3674898943647,0,1,2016,2870,0,123149,kings_canyon,3483,91.0796297809214
10090,2005,2016,2015,0,6.22290151588703,0,1,2015,2771,57,716908,kings_canyon,3483,36.4468179181028
10091,2011,2016,2015,1.69019608002851,5.90266016873434,0.0666666666666667,1,2015,99,8,86422,kings_canyon,3517,3.75040218462197
10095,2011,2016,2016,0,6.73933258284769,0,1,2016,69,29,11681,kings_canyon,3444,7.10990640129346
10100,2009,2018,2015,0,6.14306925635519,0,1,2018,2056,5,25974,kings_canyon,3298,142.072000883942
10101,2011,2018,2015,0,5.00722638428298,0,0.975609756097561,2017,2197,1,5187,kings_canyon,3213,339.72439791828
10102,2009,2018,2015,0,6.17880439737832,0,1,2017,2724,1,15183,kings_canyon,3213,246.197201438841
10196,2009,2016,2016,0,2.82621644961987,0,0.375,2016,922,199,65700,kings_canyon,3320,40.059270931324
10197,2007,2016,2016,1.69019608002851,3.24691557503333,0.0714285714285714,0.1,2016,198,72,8647,kings_canyon,3152,23.7130417250614
10198,2010,2016,2016,1.69019608002851,2.6363643235351,0.285714285714286,0.285714285714286,2010,324,131,22163,kings_canyon,3298,24.2373727335303
10199,2011,2016,2016,0,3.01533702622167,0,0.125,2016,35,33,6608,kings_canyon,3298,4.79499139244401
10201,2009,2011,2010,0,5.4617678136106,0,1,2010,1565,0,6215,kings_canyon,3286,221.079554164073
10202,2007,2011,2011,2.93701610746481,4.94353296278563,0.166666666666667,1,2011,124,1,12555,kings_canyon,3030,12.3244665758621
10206,2005,2009,2007,3.05887270191031,6.120272897894,0.6,1,2018,607,7,29262,kings_canyon,3388,39.5176847903903
10210,2008,2009,2009,0,5.56569791400315,0,1,2007,15,3,16736,kings_canyon,3292,1.2912794221795
10213,2007,2009,2009,2.38201704257487,5.60103559372014,0.25,1,2009,11,9,5906,kings_canyon,3280,1.5940457016114
10216,2005,2011,2006,,3.81442447325795,,0.714285714285714,2009,40,0,37024,kings_canyon,3444,2.31511797751988
10217,2004,2012,2010,,6.47639117143482,,1,2009,73,0,47745,kings_canyon,3471,3.72060629038108
10218,2006,2009,2009,2.05720107871051,4.11184291514397,0.263157894736842,0.846153846153846,2009,115,46,160690,kings_canyon,3481,3.19490699122923
10219,2005,2010,2008,,5.23694264886097,,0.7,2009,70,0,42812,kings_canyon,3456,3.76764596260698
10220,2005,2019,2016,0,2.80825960037701,0,0.333333333333333,2009,23,1,12650,kings_canyon,3627,2.27738983551049
10222,2008,2011,2009,2.2030541130606,5.25436590136977,0.6,1,2011,541,0,10568,kings_canyon,3554,58.607833497428
10223,2005,2010,2007,,5.30533824450509,,1,2007,1415,20,40331,kings_canyon,3495,78.4678493059146
10225,2005,2007,2006,,6.0691711158829,,1,2006,1402,0,28515,kings_canyon,3493,92.4626061672857
10228,2005,2010,2006,,5.74450960407754,,1,2006,227,1,6155,kings_canyon,3408,32.2230491150478
10230,2005,2009,2009,0,4.68642482196608,0,0.933333333333333,2009,58,0,142958,kings_canyon,3554,1.70835674384458
10244,2006,2010,2010,2.00346694965902,4.10803553117834,0.535714285714286,1,2010,324,80,27954,kings_canyon,3115,21.5813115594765
10245,2004,2010,2010,,5.00634800074401,,1,2010,83,6,8505,kings_canyon,3063,10.0229540213263
10249,2004,2010,2006,,4.87434305356744,,1,2005,105,22,101241,kings_canyon,3220,3.67507232751298
10263,2010,2016,2016,0,6.86607941042793,0,1,2014,1166,228,48464,kings_canyon,3450,58.9852911104015
10276,2004,2016,2015,,7.20232657594749,,1,2007,95,0,45771,kings_canyon,3500,4.94519258662308
10284,2006,2007,2006,5.04396153323762,5.04396153323762,1,1,2006,21,4,9301,kings_canyon,3521,2.42498623221505
10285,2014,2015,2015,4.26632438270748,4.50742541143334,0.75,1,2006,12,1,15997,kings_canyon,3500,1.05661501603378
10314,2006,2007,2007,3.86924374175051,4.76439333742841,0.909090909090909,0.909090909090909,2006,98,0,12535,kings_canyon,3612,9.74807161828744
10315,2004,2018,2018,,5.28433918020707,,1,2009,225,10,9642,kings_canyon,3590,25.5184187169706
10316,2005,2018,2018,,7.12744224472282,,1,2006,94,1,13331,kings_canyon,3591,9.06674275820051
10319,2006,2014,2006,5.63053997553101,5.63053997553101,1,1,2006,409,0,40561,kings_canyon,3550,22.6164161063125
10421,2005,2019,2017,,5.60552030801357,,1,2011,225,0,10060,kings_canyon,3330,24.9826401511637
10422,2004,2018,2016,,4.12275273718173,,1,2018,543,1,8365,kings_canyon,3350,66.1182974057838
10470,2008,2007,2006,3.60434299175471,3.96684542365492,0.875,0.875,2008,7,0,6521,kings_canyon,3230,0.96537432596138
10474,2016,2012,2012,0,2.52762990087134,0,0.3,2008,764,79,35257,kings_canyon,3590,45.3132785136216
10476,2012,2016,2012,2.39262553560504,2.39262553560504,0.0571428571428571,0.0571428571428571,2012,306,153,5990,kings_canyon,3530,44.0314330221151
10477,2012,2016,2016,2.08613554146935,3.24685493025616,0.0416666666666667,0.05,2014,1173,763,30582,kings_canyon,3450,74.6998749571378
10487,2010,2004,2013,0,2.28555730900777,0,0.25,2007,198,9,8866,kings_canyon,3430,23.4183413186559
10490,2012,2007,2007,2.02640438120075,2.28555730900777,0.16,0.166666666666667,2007,172,2,22961,kings_canyon,3390,12.6411868971517
10511,2005,2016,2015,,2.6996314818157,,0.666666666666667,2015,40,0,17974,kings_canyon,3442,3.32270991465065
10570,2004,2019,2019,,3.35052284157846,,1,2007,52,3,28174,kings_canyon,3261,3.45011755717198
11008,2012,2016,2012,2.49393823962682,2.49393823962682,0.0666666666666667,0.0666666666666667,2012,162,89,1987,kings_canyon,3435,40.4735115077139
11009,2012,2018,2013,2.14044787214123,2.5854607295085,0.0625,0.0625,2012,480,33,2408,kings_canyon,3430,108.935091063525
11027,2016,2016,2013,0,2.16136800223497,0,0.111111111111111,2013,168,168,1863,kings_canyon,3380,43.3468615827135
11028,2016,2010,2010,0,1.69019608002851,0,0.333333333333333,2010,29,19,599,kings_canyon,3490,13.195911414183
11029,2004,2012,2012,,2.76117581315573,,0.0434782608695652,2011,446,245,2869,kings_canyon,3490,92.7308817321534
11030,2007,2012,2012,0,2.82801506422398,0,0.027027027027027,2012,198,148,2237,kings_canyon,3490,46.6215816418397
11040,2009,2018,2011,0,1.69019608002851,0,0.4,2011,22,4,822,kings_canyon,3450,8.54558064048558
11215,2006,2015,2007,,5.61025638279638,,1,2007,59,0,1665,kings_canyon,3550,16.102736911281
11221,2007,2009,2009,2.26840943454394,4.63342538879443,0.133333333333333,1,2009,468,3,3137,kings_canyon,3550,93.0557895713422
11332,2004,2009,2007,,5.14663062054744,,1,2007,26,0,2711,kings_canyon,3421,5.56113443546761
11333,2004,2009,2007,,5.48364528324957,,1,2006,14,1,3725,kings_canyon,3420,2.55458114179765
11342,2004,2005,2005,,5.2378383055999,,1,2006,25,0,2405,kings_canyon,3454,5.67724024859161
11348,2006,2009,2007,4.06393229341037,5.11587769879548,1,1,2006,7,0,2929,kings_canyon,3500,1.44043331998164
11392,2006,2010,2010,5.0874500725217,5.52065199510103,0.966666666666667,1,2005,46,24,859,kings_canyon,3347,17.478978753905
11395,2006,2010,2006,5.70500555099908,5.70500555099908,0.75,1,2005,25,8,1033,kings_canyon,3341,8.66252802432782
11469,2004,2010,2006,,6.19962712211563,,1,2006,173,1,3875,kings_canyon,3383,30.9503136429312
11470,2005,2010,2010,4.31848199747084,6.23695184843888,0.67741935483871,1,2006,383,2,3998,kings_canyon,3383,67.457801605561
11491,2009,2011,2010,3.93681746375236,4.81364555524929,0.899038461538462,1,2010,82,1,2316,kings_canyon,3530,18.9757687681566
11493,2009,2011,2010,3.25076223573923,5.19395081607107,0.819095477386935,1,2006,55,0,269,kings_canyon,3459,37.3457644956979
11494,2004,2009,2007,,5.62629898814572,,1,2007,26,1,979,kings_canyon,3459,9.25415579800444
11495,2004,2016,2007,,5.30830715841013,,1,2007,49,0,970,kings_canyon,3459,17.5212472264008
11496,2004,2009,2007,,4.76848416916624,,1,2007,95,1,840,kings_canyon,3493,36.503858050486
11506,2009,2015,2009,5.12207414584084,5.12207414584084,0.9375,1,2012,232,2,1414,kings_canyon,3469,68.7097051474099
11509,2009,2013,2012,2.03180522295013,4.68298768162205,0.571428571428571,1,2007,17,0,605,kings_canyon,3469,7.69708067901185
11513,2008,2009,2007,0,1.98677173426624,0,0.5,2007,14,4,1146,kings_canyon,3444,4.60564576115806
11516,2010,2011,2011,0,5.55983448246608,0,1,2011,29,8,903,kings_canyon,3432,10.7475364687339
11517,2005,2012,2011,0,5.14918199368493,0,0.984375,2011,39,0,816,kings_canyon,3395,15.2045766508331
11518,2009,2012,2011,3.06360389036321,4.87338270396271,1,1,2009,198,0,2002,kings_canyon,3408,49.2819584687787
11520,2005,2014,2006,,2.47075213748078,,0.7,2006,30,0,788,kings_canyon,3450,11.9018082941804
11523,2008,2010,2009,0,5.50282927143726,0,1,2009,25,0,1524,kings_canyon,3444,7.1318521272017
11525,2009,2011,2010,3.626373471883,5.10443982728733,0.75,1,2011,80,0,1096,kings_canyon,3456,26.91159972636
11526,2004,2012,2011,,4.97790873051857,,1,2012,374,0,772,kings_canyon,3456,149.905565384794
11530,2004,2009,2006,,1.84725338743067,,1,2006,15,0,1512,kings_canyon,3280,4.29605831799419
11532,2005,2009,2007,,2.38201704257487,,0.5,2007,6,0,625,kings_canyon,3280,2.67279743847922
11535,2006,2012,2012,2.16136800223497,5.41624125278219,0.2,1,2009,16,2,834,kings_canyon,3298,6.17009373829612
11570,2009,2010,2010,0,1.69019608002851,0,1,2010,5,1,655,kings_canyon,3164,2.17572578678528
11580,2004,2011,2011,,4.52073237833201,,1,2010,29,0,859,kings_canyon,3277,11.0193561709401
11581,2007,2011,2011,0,5.02319462835795,0,1,2011,47,0,818,kings_canyon,3274,18.3010501371147
11582,2007,2011,2011,0,4.97683751992531,0,1,2010,310,0,2824,kings_canyon,3277,64.965704495452
11858,2005,2018,2015,2.65048133740089,6.0360099087377,0.08,0.994082840236686,2015,1440,3,1674,kings_canyon,3225,391.958033389441
11870,2011,2009,2007,0,1.98677173426624,0,0.25,2007,68,5,1956,kings_canyon,3517,17.1229777436407
11985,2006,2012,2005,0,2.28555730900777,0,0.666666666666667,2007,15,1,1366,kings_canyon,3347,4.51981557206358
11987,2007,2019,2006,2.31507950111639,4.35428135384973,0.5,0.5,2007,66,0,3140,kings_canyon,3347,13.1169818077346
12102,2012,2017,2012,3.65625514370572,3.65625514370572,1,1,2006,111,38,1867,kings_canyon,3298,28.6091941195344
12230,2004,2007,2007,,6.17981315620224,,1,2005,113,7,4329,kings_canyon,3408,19.126673981476
12361,2007,2006,2006,4.24614368959592,5.86901375575906,0.8,1,2005,53,25,3802,kings_canyon,3520,9.57248331507685
12503,2004,2011,2011,,3.69390799443565,,1,2009,46,18,548,kings_canyon,3444,21.8837808579503
12512,2009,2012,2012,1.98677173426624,5.56578881280889,0.2,1,2011,42,0,43,kings_canyon,3444,71.3296129274276
12562,2005,2015,2013,,3.9667104796169,,1,2013,16,1,44,kings_canyon,3569,26.8626249819957
12590,2005,2018,2016,,4.58049578704721,,0.941176470588235,2017,111,2,43,kings_canyon,3213,188.513977022487
12602,2006,2011,2006,2.39037508301933,2.39037508301933,0.6,0.6,2006,25,0,99,kings_canyon,3267,27.9819010229122
12603,2005,2009,2009,,2.98783402089246,,0.714285714285714,2009,23,19,236,kings_canyon,3261,16.6734948315057
12618,2011,2018,2016,,4.20971319327607,,0.869565217391304,2016,431,4,43,kings_canyon,3222,731.977694564792
12621,2005,2017,2016,,3.94255689485829,,0.863636363636364,2016,186,1,58,kings_canyon,3231,271.990510487565
13025,2012,2017,2012,1.83848390714738,1.83848390714738,0.0487804878048781,0.0487804878048781,2012,46,6,13117,kings_canyon,3290,4.47296373514231
20135,2016,2004,2019,3.18902910956472,5.93489120304605,0.0425531914893617,1,2019,19,0,8055,sequoia,3380,2.35762991401647
20169,2019,2018,2014,2.31406956288651,3.40568778667278,0.0555555555555556,0.1,2018,158,57,102109,sequoia,3510,5.50655371709123
20170,2019,2016,2016,0,3.77102510606179,0,0.142857142857143,2016,46,14,5008,sequoia,3510,7.23903166433963
20192,2004,2011,2011,,4.67843225334163,,0.9,2008,44,4,8748,sequoia,3510,5.23905664399646
20196,2008,2011,2008,5.10938567250006,5.10938567250006,0.933333333333333,1,2011,54,5,22666,sequoia,3490,3.99448801376942
20198,2004,2008,2007,,4.96909370097703,,1,2008,288,0,10798,sequoia,3590,30.8656644761262
20199,2004,2019,2007,,5.86328007869342,,1,2007,112,1,7335,sequoia,3610,14.56373501083
20278,2004,2016,2016,,6.47842244227234,,1,2016,797,53,6934,sequoia,3343,106.591164640758
21033,2011,2005,2005,4.29751469231705,5.21882438401327,1,1,2011,2,0,2505,sequoia,3530,0.44502144059443
21078,2004,2011,2007,,5.33239439679086,,1,2007,15,1,605,sequoia,3670,6.79154177559869
21081,2004,2011,2011,,4.63780789024097,,1,2008,312,8,4479,sequoia,3630,51.918109193389
21086,2008,2011,2007,5.21838871844566,5.97439216307982,1,1,2007,14,0,3354,sequoia,3490,2.69216275240499
21091,2011,2016,2005,0,2.94817518489368,0,0.4,2005,59,4,1430,sequoia,3350,17.3755594868213
21092,2011,2016,2016,0,4.05540489987951,0,1,2016,68,5,1615,sequoia,3350,18.8441891163929
21109,2016,2019,2016,2.95375582702654,2.95375582702654,0.0714285714285714,0.0714285714285714,2016,365,19,370,sequoia,3510,211.323019319738
21111,2004,2016,2007,,2.91831674787823,,0.714285714285714,2007,99,5,1865,sequoia,3510,25.5299862693643
21520,2017,2019,2019,3.96859319359997,5.34385578947124,0.590909090909091,1,2019,6,3,2342,sequoia,3370,1.38074223562841
22008,2016,2018,2015,5.11608187221004,6.25352953385882,0.939024390243902,1,2015,144,9,20926,sequoia,3450,11.0859824391462
22019,2016,2018,2018,4.66159925675864,5.53216135547758,0.888888888888889,1,2018,19,2,65008,sequoia,3530,0.829898544991107
